                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5431,                 1.8718,                 1.7594,                0.68601,                   0.24,                0.25265,                0.08489,                  1.926,                 2.5354,                 2.4416,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.5606,                 1.8582,                 1.7644,                0.13081,                0.44479,                0.13893,                0.05408,                 1.9949,                  3.117,                 2.4223,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.5129,                 1.8167,                 1.7187,                0.17188,                0.37882,                0.15611,                0.05699,                 1.7778,                 2.7329,                 2.2279,               0.009307,               0.009307,               0.009307
                     37,                 1.4958,                 1.8542,                 1.7274,                0.10028,                0.36706,                0.10666,                0.04126,                 2.0081,                 2.9937,                 2.3885,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.5058,                 1.8639,                 1.7155,                0.24267,                0.11199,                0.13553,                0.05134,                 2.1984,                 3.1393,                 2.5257,              0.0092674,              0.0092674,              0.0092674
                     39,                  1.531,                 1.8426,                 1.7452,                0.43564,                0.05882,                0.08786,                0.04674,                 2.5562,                  5.094,                 2.9986,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.5408,                 1.8534,                 1.7759,                 0.3273,                0.45647,                0.32549,                0.11893,                 1.8737,                 2.2738,                 2.2866,              0.0092278,              0.0092278,              0.0092278
                     41,                 1.5143,                  1.893,                 1.7226,                0.28087,                0.65176,                 0.3291,                0.12927,                 1.8608,                 2.0635,                 2.2318,               0.009208,               0.009208,               0.009208
                     42,                 1.4341,                 1.8122,                 1.6731,                0.18541,                0.61176,                0.24718,                0.11562,                 1.7312,                  2.183,                 2.1308,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.4638,                  1.805,                  1.672,                0.25458,                0.36824,                0.24191,                0.10404,                 1.7787,                 2.1889,                  2.195,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.4783,                 1.8082,                 1.7242,                0.24194,                0.38824,                0.22115,                0.07866,                 1.9077,                 2.5061,                 2.3919,              0.0091486,              0.0091486,              0.0091486
                     45,                 1.5066,                 1.7628,                 1.7553,                0.20918,                0.43841,                  0.212,                0.10113,                 1.8017,                 2.4656,                 2.3153,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.4647,                  1.789,                 1.7049,                0.26718,                0.38824,                 0.2457,                0.10816,                 1.7265,                 2.4057,                 2.2318,               0.009109,               0.009109,               0.009109
                     47,                 1.4129,                 1.7642,                 1.6709,                0.47699,                0.26941,                0.24688,                0.11912,                  1.681,                 2.2923,                 2.1278,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.3773,                 1.6488,                 1.6453,                0.20088,                0.42824,                0.18615,                0.09029,                 1.9477,                 2.4147,                 2.3293,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.4464,                 1.7402,                 1.6875,                 0.3108,                0.44597,                  0.355,                0.12663,                 2.0258,                 2.0375,                 2.4432,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.4731,                 1.7537,                 1.7042,                 0.2641,                0.52679,                0.26192,                0.11522,                 2.0124,                 1.9762,                 2.4147,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.4629,                 1.7175,                 1.6832,                0.27451,                0.54588,                 0.3011,                0.15938,                 1.8393,                 2.0163,                 2.3256,                0.00901,                0.00901,                0.00901
                     52,                 1.4205,                 1.7178,                 1.6739,                0.30508,                0.52795,                0.31245,                0.16377,                 1.7613,                 2.0738,                 2.3826,              0.0089902,              0.0089902,              0.0089902
                     53,                  1.388,                 1.6878,                 1.6601,                0.30198,                0.43647,                0.32384,                0.14949,                 1.7445,                 2.3292,                 2.3701,              0.0089704,              0.0089704,              0.0089704
